Site,Stem_id,Plot,Date,Species,DBH,Distance,Azimuth,Genus,Specific epithet,Scientific name,Common name,Functional,secondary,tert,Notes
Tuskegee,139,12,6/6/2022,PIEL,43.3,5.02,,Pinus ,elliottii,Pinus elliottii,slash pine,Pinus,pine,Pine,
Tuskegee,140,17,6/6/2022,QUNI,8.3,7.33,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,141,17,6/6/2022,QUNI,12,2.13,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,142,17,6/6/2022,QUNI,17,2.14,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,143,17,6/6/2022,QUNI,23.9,6.66,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,144,17,6/6/2022,QUNI,25,4.69,,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Tuskegee,145,17,6/6/2022,PITA,19.2,6.61,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,146,17,6/6/2022,PITA,24.1,6.37,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,147,17,6/6/2022,PITA,24.8,4.1,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,148,17,6/6/2022,PITA,25,6.61,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,149,17,6/6/2022,PITA,28.5,4.47,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,150,17,6/6/2022,PITA,33.4,4.79,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,151,17,6/6/2022,PITA,33.4,6.35,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,152,17,6/6/2022,PITA,38.8,7.77,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,153,17,6/6/2022,PITA,44.1,4.4,,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
Tuskegee,154,17,6/6/2022,LIST,20,8,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Tuskegee,155,17,6/6/2022,LIST,30,2.45,,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,Sweetgum,sweetgum,Encroaching,
Kreher,156,19,5/19/2022,QUST,37.9,6.1,42,Quercus ,stellata,Quercus stellata,post oak,Upland oak,Upland oak,Upland oak,
Kreher,157,19,5/19/2022,QUST,39.5,5.9,90,Quercus ,stellata,Quercus stellata,post oak,Upland oak,Upland oak,Upland oak,
Kreher,158,19,5/19/2022,QUNI,76,7.1,320,Quercus ,nigra,Quercus nigra,water oak,water oak,other,Encroaching,
Kreher,159,19,5/19/2022,PRSE,14.6,4.2,35,Prunus,serotina,Prunusserotina,cherry,other,other,Encroaching,
Kreher,160,19,5/19/2022,PITA,14.2,3.9,142,Pinus ,taeda,Pinus taeda,loblolly pine,Pinus,pine,Pine,
