Plot,Treatment,Burn_Szn,canopy_trt,litter_type,percent,frs1_cms,frs2_cms,avg_fh,consump,avg_max_temp,fuel_moist,meso_os
12,control,ED,high,meso,15.32760154,1.129943503,0.245700246,18.21428571,93,275.5555556,16.95906433,
12,thin,ED,high,meso,4.517249938,1.01010101,0.418410042,16.66666667,98,380.5555556,8.705882353,
1,control,LD,high,meso,16.84472934,0,0,5,10,21,18.19505095,
1,thin,LD,high,meso,4.056047198,0.24691358,0.353982301,10.83333333,90,253.7777778,19.05274489,
2,control,LD,med,meso,7.406075858,1.020408163,0.435729847,16.66666667,96,386.5555556,13.00813008,
2,thin,LD,med,meso,2.983802217,0.36036036,0.561797753,13.33333333,93,354,14.61897356,
3,control,LD,high,meso,3.875098281,0.975609756,0.377358491,19.16666667,95,497.6666667,11.26436782,
3,thin,LD,high,meso,6.585956416,0,0,5.833333333,10,22,19.09547739,
4,control,LD,low,meso,19.85951469,0.584795322,0.566572238,16,98,345,10.63189569,
4,thin,LD,low,meso,22.5785124,0.757575758,0.465116279,9,80,256.7777778,10.85141903,
5,control,LD,low,meso,27.29083665,1.398601399,2.06185567,22.5,99,443.6666667,7.903225806,
5,thin,LD,low,meso,1.89039932,3.225806452,1.351351351,30,99,497.6666667,9.485530547,
6,control,LD,low,meso,5.292853305,1.111111111,0.615384615,19.28571429,98,473,10.2189781,
6,thin,LD,low,meso,0.892401836,0.727272727,0.862068966,20,96,473,6.753812636,
7,control,LD,med,meso,7.701925481,0.445434298,0.437636761,18.33333333,90,363.4444444,9.498680739,
7,thin,LD,med,meso,1.488942413,0.420168067,1.526717557,21.25,100,497.6666667,7.974683544,
8,control,LD,med,meso,2.977667494,0.787401575,0.732600733,19.44444444,95,497.6666667,7.482993197,
8,thin,LD,med,meso,1.052379813,0.571428571,0.512820513,18.75,95,497.6666667,8.058608059,
9,control,LD,high,meso,9.487315011,1.904761905,0.476190476,33.57142857,98,497.6666667,20.92457421,
9,thin,LD,high,meso,10.55011304,1.234567901,1.069518717,24.44444444,95,462.1111111,25.64612326,
10,control,LD,med,meso,17.66467066,1.176470588,0.952380952,26,95,497.6666667,10.03039514,
10,thin,LD,med,meso,1.108554696,3.636363636,0.930232558,26.42857143,100,485.3333333,8.305921053,
11,control,LD,low,meso,13.19783895,0.869565217,0.308641975,14.28571429,95,473,10.0099108,
11,thin,LD,low,meso,5.350248207,0.498753117,0.704225352,10.55555556,95,463.7777778,7.524271845,
12,control,LD,high,meso,20.30716724,0.643086817,0.479616307,16.66666667,97,497.6666667,11.85185185,
12,thin,LD,high,meso,18.3197832,0.775193798,0.586510264,8.5,85,358.7777778,11.07142857,
