Site,Plot,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a
MOT,25,Sweetgum,2.569897874,17.05385,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304
MOT,26,Sweetgum,5.961798186,34.3299,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682
MOT,27,Sweetgum,9.003947768,32.94115,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989
MOT,28,Sweetgum,2.739517541,19.998,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857
MOT,29,Sweetgum,4.332178991,35.4409,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895
MOT,30,Sweetgum,1.342281879,6.2216,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237
MOT,31,Sweetgum,2.471141513,16.05395,41.1254498,179.1371599,31.27330713,136.222496,76.04368411
MOT,32,Sweetgum,2.838164251,10.4434,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559
MOT,33,Sweetgum,9.70234688,37.6629,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056
MOT,52,Sweetgum,6.868757666,21.7756,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937
MOT,53,Sweetgum,2.195298747,11.7766,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417
MOT,54,Sweetgum,12.06728641,75.71465,38.75845293,168.8268266,25.435988,110.795886,65.62694344
MOT,55,Sweetgum,9.360518999,50.49495,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442
MOT,56,Sweetgum,7.625043722,36.3297,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858
MOT,57,Sweetgum,9.991826727,54.3279,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456
MOT,58,Sweetgum,0,0,33.85836845,147.48269,9.703829343,42.26863019,28.66006186
MOT,59,Sweetgum,2.181346539,10.27675,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265
MOT,60,Sweetgum,4.962210856,36.1075,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525
Talladega,61,Sweetgum,9.998692981,42.49575,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202
Talladega,62,Sweetgum,15.16364156,58.93855,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331
Talladega,63,Sweetgum,0,0,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773
Talladega,64,Sweetgum,0.647598489,2.6664,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464
Talladega,65,Sweetgum,3.172919279,18.27595,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011
Talladega,66,Sweetgum,6.260549333,22.6644,58.45936134,254.641445,12.34699719,53.78192875,21.12065016
Talladega,67,Sweetgum,7.287513953,25.38635,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107
Talladega,68,Sweetgum,0,0,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023
Talladega,69,Sweetgum,0,0,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971
Talladega,70,Sweetgum,0,0,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678
Talladega,71,Sweetgum,0,0,33.29764238,145.0402395,33.29764238,145.0402395,100
Talladega,72,Sweetgum,0,0,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041
Talladega,74,Sweetgum,0,0,21.4714303,93.52678357,10.1443832,44.187626,47.24595919
Talladega,75,Sweetgum,0,0,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245
Talladega,76,Sweetgum,0.387665198,1.2221,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351
Talladega,77,Sweetgum,0.756216355,3.27745,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094
Talladega,78,Sweetgum,0,0,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067
Talladega,79,Sweetgum,0,0,40.34898819,175.7549932,25.124301,109.4382176,62.26748703
Talladega,80,Sweetgum,0,0,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615
Talladega,81,Sweetgum,0,0,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852
Talladega,82,Sweetgum,0,0,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858
Talladega,83,Sweetgum,0,0,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425
Talladega,84,Sweetgum,0,0,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384
Talladega,85,Sweetgum,0,0,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075
Talladega,86,Sweetgum,0,0,32.82234882,142.969922,15.91276633,69.3139596,48.48149781
Talladega,87,Sweetgum,0.310800311,1.5554,36.71738828,159.936212,27.28336421,118.8428188,74.30638585
Talladega,88,Sweetgum,0,0,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259
Talladega,89,Sweetgum,0,0,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535
Talladega,91,Sweetgum,0,0,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899
