Site,Plot,group,Biomass_Load_Source,Load_kgm2,Pine_ft2a,Pine_pctBAft2a,pine_iv,uo_iv,meso_iv
Tuskegee,44,30 - 70% Pine,Litter,0.451066,62.80594315,42.93828739,130.4382874,0,169.5617126
Tuskegee,45,30 - 70% Pine,Litter,0.52100345,54.32888483,43.38335957,118.3833596,63.92141164,117.6952288
Tuskegee,47,30 - 70% Pine,Litter,0.4284016,51.5585988,38.30734463,87.43015165,75.57918521,136.9906631
Tuskegee,48,30 - 70% Pine,Litter,0.3549645,46.91429079,36.85770948,120.1910428,0,179.8089572
Tuskegee,49,>70% Pine,Litter,0.5329467,160.7993374,73.28561444,166.1427573,0,133.8572427
Tuskegee,50,30 - 70% Pine,Litter,0.45123265,165.0904487,62.77332939,136.5828532,0,163.4171468
Tuskegee,51,>70% Pine,Litter,0.38112855,194.277276,81.59747594,167.9611123,0,132.0388877
MOT,52,30 - 70% Pine,Litter,0.31702385,40.71940035,35.05719938,96.96196128,91.27678213,111.7612566
MOT,53,30 - 70% Pine,Litter,0.53644635,72.99133043,52.69742415,116.7999883,68.93703356,114.2629782
MOT,54,30 - 70% Pine,Litter,0.62743725,110.795886,65.62694347,167.8008565,0,132.1991435
MOT,55,30 - 70% Pine,Litter,0.53944605,99.58404735,44.66834421,104.0886341,54.72493338,141.1864326
MOT,56,30 - 70% Pine,Litter,0.47645235,59.18014005,47.74638857,113.131004,0,186.868996
MOT,57,30 - 70% Pine,Litter,0.5437234,84.4588098,49.83643454,94.93447376,75.0303331,130.0351931
